SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate
"29102","10771","1","2019","Normal","Disney","Licensed","Toy Story 4","Carnival Thrill Coaster","X","10771-1","19.99","15.99","24.99","19.49","22/04/2019 00:00:00","28/11/2020 00:00:00","98","2","Box","Retail","6267990","6267988","5702016477863","","26.2","19.1","4.6","","","","3018","599","2","4","X","7","23.4900","12.6100","Astrid Bonfante,","22/04/2019 00:00:00","31/12/2020 00:00:00"
"28517","10883","1","2019","Normal","Duplo","Pre-school","My First","My First Tow Truck","X","10883-1","9.99","7.99","13.99","9.74","02/01/2019 00:00:00","26/02/2021 00:00:00","11","","Box","Retail","6250709","6250708","5702016367553","673419301800","26.2","14.1","7.2","0.26","","","491","41","2","5","X","0","12.4300","5.6600","","01/01/2019 00:00:00","31/12/2020 00:00:00"
"28516","10884","1","2019","Normal","Duplo","Pre-school","My First","My First Balancing Animals","X","10884-1","14.99","12.99","19.99","14.61","02/01/2019 00:00:00","31/12/2020 00:00:00","15","","Box","Retail","6250712","6250711","5702016367560","","22.2","26.2","7.6","","","","407","51","2","5","X","0","13.2300","","","01/01/2019 00:00:00","31/12/2020 00:00:00"
"28515","10885","1","2019","Normal","Duplo","Pre-school","My First","My First Fun Puzzle","X","10885-1","19.99","12.99","24.99","19.49","02/01/2019 00:00:00","19/06/2020 00:00:00","15","","{Not specified}","{Not specified}","6250714","6250713","5702016367577","673419301824","35.4","19.1","9.1","0.55","","","290","74","2","4","X","0","49.6600","","","01/01/2019 00:00:00","31/12/2020 00:00:00"
"28514","10886","1","2019","Normal","Duplo","Pre-school","My First","My First Car Creations","X","10886-1","19.99","14.99","24.99","19.99","02/01/2019 00:00:00","12/11/2021 00:00:00","34","","{Not specified}","{Not specified}","6250721","6250720","5702016367584","673419301831","28.2","26.2","9.55","0.64","","","471","45","2","5","X","5","18.7000","12.0000","","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28926","10887","1","2019","Normal","Duplo","Pre-school","","Creative Fun","X","10887-1","39.99","29.99","49.99","34.99","06/01/2019 00:00:00","14/10/2021 00:00:00","120","1","Box","Retail","6250724","6250723","5702016367591","673419301848","26.2","38.2","14.1","1.45","","","262","40","2","6","X","0","42.8800","","","01/01/2019 00:00:00","31/12/2021 00:00:00"
"29263","10889","1","2019","Normal","Duplo","Pre-school","Mickey","Mickey's Vacation House","X","10889-1","49.99","44.99","59.99","48.73","02/08/2019 00:00:00","14/11/2020 00:00:00","57","3","Box","Retail","6250698","6250697","5702016367515","","35","37.5","9.2","0.987","2","","401","130","2","4","X","0","60.9500","35.0000","","01/06/2019 00:00:00","31/12/2020 00:00:00"
"28416","10893","1","2019","Normal","Duplo","Pre-school","Marvel Super Hero Adventures","Spider-Man vs. Electro","X","10893-1","19.99","17.99","24.99","19.99","02/01/2019 00:00:00","06/02/2020 00:00:00","29","2","Box","Retail","6250730","6250729","5702016367621","673419301879","26.2","19.1","7.2","0.41","2","","191","97","2","4","X","0","34.9500","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28960","10894","1","2019","Normal","Duplo","Pre-school","Toy Story","Toy Story Train","X","10894-1","19.99","17.99","24.99","19.99","01/03/2019 00:00:00","22/07/2021 00:00:00","21","2","Box","Retail","6250707","6250706","5702016367546","673419301794","35.4","19.1","7","","2","","861","147","2","5","X","0","26.3200","10.8200","","01/03/2019 00:00:00","31/07/2021 00:00:00"
"28450","10895","1","2019","Normal","Duplo","Pre-school","The LEGO Movie 2","Emmet and Lucy's Visitors from the DUPLO Planet","X","10895-1","29.99","24.99","34.99","29.99","27/12/2018 00:00:00","19/03/2020 00:00:00","53","2","Box","Retail","6250732","6250731","5702016367638","673419301886","38.2","26.2","9.4","0.8","2","","769","175","2","2","X","2","24.0000","25.0000","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28513","10897","1","2019","Normal","Duplo","Pre-school","Minnie","My First Minnie Build","X","10897-1","9.99","8.99","13.99","9.99","02/01/2019 00:00:00","06/12/2020 00:00:00","10","","Box","Retail","6250702","6250699","5702016367522","673419301770","14.1","19.1","9.1","0.25","","","489","46","2","4","X","0","6.9000","6.9900","","01/01/2019 00:00:00","31/12/2020 00:00:00"
"28512","10898","1","2019","Normal","Duplo","Pre-school","Mickey","My First Mickey Build","X","10898-1","9.99","8.99","13.99","9.74","02/01/2019 00:00:00","01/11/2020 00:00:00","9","","Box","Retail","6250705","6250704","5702016367539","673419301787","14.1","19.1","9.1","0.24","","","519","55","2","4","X","0","18.1800","","","01/01/2019 00:00:00","31/07/2020 00:00:00"
"29359","10899","1","2019","Normal","Duplo","Pre-school","Frozen","Frozen Ice Castle","X","10899-1","49.99","44.99","64.99","49.99","02/08/2019 00:00:00","19/01/2024 00:00:00","59","3","Box","Retail","6250728","6250727","5702016367614","673419301862","35.4","37.8","9.4","","2","","647","113","2","4","X","0","64.2800","45.4100","","01/08/2019 00:00:00","31/12/2023 00:00:00"
"28511","10900","1","2019","Normal","Duplo","Pre-school","","Police Bike","X","10900-1","9.99","9.99","13.99","9.99","02/01/2019 00:00:00","05/08/2021 00:00:00","8","1","Box","Retail","6250735","6250734","5702016367645","673419301893","19.1","14.1","6.1","0.18","2","","818","58","2","5","X","0","8.7400","7.9900","","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28510","10901","1","2019","Normal","Duplo","Pre-school","","Fire Truck","X","10901-1","19.99","17.99","24.99","19.99","02/01/2019 00:00:00","10/11/2021 00:00:00","21","2","Box","Retail","6250737","6250736","5702016367652","673419301909","22.2","26.2","9.5","0.45","2","","783","71","2","5","X","0","31.5800","12.4800","","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28509","10902","1","2019","Normal","Duplo","Pre-school","","Police Station","X","10902-1","29.99","24.99","34.99","29.99","02/01/2019 00:00:00","26/07/2021 00:00:00","38","3","{Not specified}","{Not specified}","6250739","6250738","5702016367669","673419301916","38.2","26.2","9.4","0.71","","","389","70","2","5","X","0","26.2300","19.2500","","01/01/2019 00:00:00","31/07/2021 00:00:00"
"28508","10903","1","2019","Normal","Duplo","Pre-school","","Fire Station","X","10903-1","49.99","39.99","69.99","49.99","02/01/2019 00:00:00","05/08/2021 00:00:00","76","2","{Not specified}","{Not specified}","6250741","6250740","5702016367676","673419301923","35.4","37.8","9.4","1.14","","","498","94","2","5","X","5","65.9600","27.9900","","01/01/2019 00:00:00","31/12/2021 00:00:00"
"29264","10904","1","2019","Normal","Duplo","Pre-school","","Baby Animals","X","10904-1","9.99","9.99","13.99","9.74","02/08/2019 00:00:00","13/09/2020 00:00:00","9","","Box","Retail","6250746","6250744","5702016367683","673419301930","19.1","14.1","6.1","0.18","2","","747","96","2","4","X","0","14.3100","6.8300","","01/06/2019 00:00:00","31/12/2020 00:00:00"
"29265","10906","1","2019","Normal","Duplo","Pre-school","","Tropical Island","X","10906-1","59.99","54.99","69.99","59.99","02/08/2019 00:00:00","02/09/2021 00:00:00","73","3","Box","Retail","6250750","6250749","5702016371017","","48","37.8","9.4","","2","","352","134","2","4","X","0","71.9900","","","01/06/2019 00:00:00","31/07/2021 00:00:00"
"29266","10907","1","2019","Normal","Duplo","Pre-school","","World Animals","X","10907-1","99.99","89.99","129.99","99.99","02/08/2019 00:00:00","12/11/2021 00:00:00","121","6","Box","Retail","6250752","6250751","5702016367706","","58.2","37.8","11.8","","2","","389","150","2","4","X","5","134.8100","87.8600","","01/06/2019 00:00:00","31/12/2021 00:00:00"
"28507","10908","1","2019","Normal","Duplo","Pre-school","","Plane","X","10908-1","9.99","8.99","13.99","9.99","02/01/2019 00:00:00","18/11/2021 00:00:00","12","1","Box","Retail","6259062","6259056","5702016394757","673419308762","19.1","14.1","7.1","0.22","2","","562","56","2","5","X","0","10.4400","11.8900","","01/01/2019 00:00:00","31/12/2021 00:00:00"
"29267","10910","1","2019","Normal","Duplo","Pre-school","","Submarine Adventure","X","10910-1","19.99","17.99","24.99","19.99","02/08/2019 00:00:00","08/07/2021 00:00:00","24","2","Box","Retail","6296102","6296101","5702016680522","","28.2","26.2","9.6","","2","","930","110","2","4","X","0","32.1400","16.4100","","01/06/2019 00:00:00","31/07/2021 00:00:00"
"28506","11001","1","2019","Normal","Classic","Basic","Bricks","Bricks and Ideas","X","11001-1","9.99","8.99","13.99","9.99","02/01/2019 00:00:00","10/11/2021 00:00:00","123","","Box","Retail","6250764","6250763","5702016367768","673419302029","15.7","14.1","6.1","0.17","4","","2245","178","2","5","X","0","7.8100","3.8200","Jonathan Robson,","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28505","11002","1","2019","Normal","Classic","Basic","Bricks","Basic Brick Set ","X","11002-1","19.99","17.99","24.99","19.99","02/01/2019 00:00:00","04/11/2021 00:00:00","300","","Box","Retail","6250766","6250765","5702016367775","673419302036","26.2","19.1","7.2","0.44","4","","1226","181","2","5","X","0","13.9300","13.5000","Jonathan Robson,","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28504","11003","1","2019","Normal","Classic","Basic","Bricks","Bricks and Eyes ","X","11003-1","29.99","24.99","39.99","29.23","02/01/2019 00:00:00","23/11/2020 00:00:00","451","","Box","Retail","6250768","6250767","5702016367782","673419302043","26.2","22.2","9.5","","4","","744","226","4","5","X","0","19.7100","19.0000","John Ho,","01/01/2019 00:00:00","31/12/2020 00:00:00"
"29268","11004","1","2019","Normal","Classic","Basic","Miscellaneous","Windows of Creativity","X","11004-1","29.99","24.99","39.99","29.23","02/08/2019 00:00:00","12/01/2021 00:00:00","450","","Box","Retail","6250770","6250769","5702016367799","","26.2","22.2","9.5","","4","","948","218","2","4","X","0","49.5500","18.0000","","01/06/2019 00:00:00","31/12/2020 00:00:00"
"28603","11005","1","2019","Normal","Classic","Basic","Creative Fun","Creative Fun","X","11005-1","39.99","29.99","49.99","34.11","02/01/2019 00:00:00","26/10/2021 00:00:00","900","","Box","Retail","6250772","6250771","5702016367805","673419302067","26","38","14","1.18","4","","1829","204","3","7","X","4","39.6300","42.4300","","01/01/2019 00:00:00","31/12/2020 00:00:00"
"29570","11920","1","2019","Normal","Star Wars","Licensed","Book Parts","Star Wars: Build Your Own Adventure Galactic Missions parts","X","11920-1","","","","","","","66","1","Polybag","{Not specified}","","6259833","5702016395419","","","","","","","","383","519","0","0","X","4","15.0000","","","",""
"31208","11922","1","2019","Normal","Miscellaneous","Miscellaneous","Book Parts","The Book of Bedtime Builds parts","X","11922-1","","","","","","","68","","Polybag","Retail - limited","","","","","","","","","","","39","43","0","0","X","0","","","","",""
"30001","11923","1","2019","Normal","Harry Potter","Licensed","Book Parts","Harry Potter: Build Your Own Adventure parts","X","11923-1","","","","","","","101","1","Polybag","{Not specified}","","6257657","5702016391398","","","","","","6","","1021","742","0","0","X","0","15.0000","","","",""
"30968","11924","1","2019","Normal","Miscellaneous","Miscellaneous","Book Parts","Christmas Ideas parts","","","","","","","","","41","","Polybag","{Not specified}","","","","","","","","","","","94","49","0","0","X","0","","","","",""
"29663","11926","1","2019","Normal","Miscellaneous","Miscellaneous","","Wooden Minifigure parts","X","11926-1","","","","","","","29","","Polybag","{Not specified}","6264075","","","","","","","","","","240","111","0","0","X","0","9.2000","","","",""
"28503","21043","1","2019","Normal","Architecture","Model making","Skylines","San Francisco","X","21043-1","49.99","44.99","69.99","49.99","02/01/2019 00:00:00","12/11/2021 00:00:00","565","","Box","Retail","6250897","6250896","5702016368307","","26.2","19.1","6.1","","","","9617","2276","10","5","X","9","73.0500","57.0900","Rok Zgalin Kobe,","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28502","21044","1","2019","Normal","Architecture","Model making","Skylines","Paris","X","21044-1","49.99","44.99","69.99","49.99","02/01/2019 00:00:00","16/01/2025 00:00:00","649","","Box","Retail","6250900","6250898","5702016368314","673419302470","26.2","19.1","7.2","","","","10589","2121","13","5","X","5","34.2200","24.0400","Rok Zgalin Kobe,","01/01/2019 00:00:00","31/12/2025 00:00:00"
"29037","21045","1","2019","Normal","Architecture","Model making","Landmark Series","Trafalgar Square","X","21045-1","79.99","79.99","99.99","79.99","02/08/2019 00:00:00","28/01/2022 00:00:00","1197","","Box","Retail - limited","6250904","6250902","5702016368321","","35.4","19.1","9.1","","16","","6628","2287","9","7","X","5","78.9000","58.5200","Florian Müller,Rok Zgalin Kobe,Steen Sig Andersen,","01/06/2019 00:00:00","31/12/2021 00:00:00"
"29036","21046","1","2019","Normal","Architecture","Model making","Landmark Series","Empire State Building","X","21046-1","129.99","89.99","159.99","99.99","02/08/2019 00:00:00","19/01/2022 00:00:00","1767","","Box","Retail - limited","6250908","6250906","5702016368338","","19.1","35.4","11.8","","16","","6519","2419","9","4","X","25","120.0200","85.9600","Rok Zgalin Kobe,","01/06/2019 00:00:00","31/12/2021 00:00:00"
"29875","21055","1","2019","Normal","Architecture","Model making","Landmark Series","Burj Khalifa","X","21055-1","","44.99","","39.99","","","333","","Box","Retail - limited","","6305541","5702016748635","","19.1","26.2","6.1","","","","1033","1084","10","4","X","0","76.6900","59.1000","Rok Zgalin Kobe,","01/12/2019 00:00:00","31/12/2022 00:00:00"
"28379","21148","1","2019","Normal","Minecraft","Licensed","BigFig Series 1","Minecraft Steve BigFig with Parrot","X","21148-1","14.99","12.99","19.99","14.99","02/01/2019 00:00:00","24/01/2020 00:00:00","159","","Box","Retail","6251772","6251771","5702016370560","673419304320","14.1","19.1","4.6","0.17","7","","1810","537","2","4","X","0","30.0000","14.4000","Max Valembois,Robert Heim,","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28380","21149","1","2019","Normal","Minecraft","Licensed","BigFig Series 1","Minecraft Alex BigFig with Chicken","X","21149-1","14.99","12.99","19.99","14.99","02/01/2019 00:00:00","11/01/2020 00:00:00","160","","Box","Retail","6251774","6251773","5702016370874","673419304337","14.1","19.1","4.6","0.17","7","","1571","536","2","4","X","5","26.7300","11.5000","Max Valembois,Robert Heim,","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28381","21150","1","2019","Normal","Minecraft","Licensed","BigFig Series 1","Minecraft Skeleton BigFig with Magma Cube","X","21150-1","14.99","12.99","19.99","14.99","02/01/2019 00:00:00","10/01/2020 00:00:00","142","","Box","Retail","6251776","6251775","5702016370881","673419304344","14.1","19.1","4.6","0.17","7","","1654","554","2","4","X","0","26.5000","12.6500","Max Valembois,Robert Heim,","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28382","21151","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The End Battle","X","21151-1","19.99","19.99","24.99","19.99","02/01/2019 00:00:00","04/02/2022 00:00:00","222","2","Box","Retail","6251778","6251777","5702016370898","673419304450","26.2","19.1","6.1","0.38","7","","4301","691","3","4","X","5","34.7700","17.1200","Joe Kyde,","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28383","21152","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The Pirate Ship Adventure","X","21152-1","39.99","49.99","49.99","49.99","02/01/2019 00:00:00","12/11/2021 00:00:00","386","3","Box","Retail","6251780","6251779","5702016370904","673419304467","28.2","26.2","9.55","0.75","8","","2549","855","6","4","X","9","45.7300","26.1200","Max Valembois,","01/01/2019 00:00:00","31/12/2021 00:00:00"
"29336","21153","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The Wool Farm","X","21153-1","19.99","19.99","24.99","19.99","01/07/2019 00:00:00","18/10/2021 00:00:00","260","1","Box","Retail","6251782","6251781","5702016370911","","26.2","19.1","9.1","","7","","2327","590","2","10","X","4","19.4700","12.4500","Joe Kyde,","01/08/2019 00:00:00","31/07/2021 00:00:00"
"29337","21154","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The Blaze Bridge","X","21154-1","29.99","39.99","39.99","39.99","02/08/2019 00:00:00","15/11/2021 00:00:00","372","4","Box","Retail","6251784","6251783","5702016370928","","35.4","19.1","7","","8","","2237","716","2","4","X","0","32.9900","23.2300","Joe Kyde,","01/08/2019 00:00:00","31/12/2021 00:00:00"
"29338","21155","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The Creeper Mine","X","21155-1","79.99","79.99","99.99","79.99","02/08/2019 00:00:00","08/07/2021 00:00:00","834","4","Box","Retail","6251786","6251785","5702016370935","","54","28.2","9.1","","8","","1760","882","2","5","X","0","101.3200","65.2200","Joe Kyde,","01/08/2019 00:00:00","31/12/2021 00:00:00"
"29088","21316","1","2019","Normal","Ideas","Miscellaneous","Licensed","The Flintstones","X","21316-1","59.99","54.99","79.99","58.48","02/03/2019 00:00:00","11/01/2021 00:00:00","748","4","Box","Retail - limited","6259482","6259481","5702016396300","","35.5","19","10.4","1.038","10","","11937","3070","10","24","X","15","77.9300","65.1800","Ricardo Silva,Samuel Johnson,","01/03/2019 00:00:00","31/12/2020 00:00:00"
"29153","21317","1","2019","Normal","Ideas","Miscellaneous","Licensed","Steamboat Willie","X","21317-1","89.99","79.99","119.99","87.72","01/04/2019 00:00:00","28/11/2020 00:00:00","751","2","Box","Retail - limited","6273247","6273246","5702016501995","","28.2","26.2","9.6","","10","","11159","3269","10","32","X","23","119.3800","82.9700","John Ho,Samuel Johnson,","01/04/2019 00:00:00","31/12/2020 00:00:00"
"29383","21318","1","2019","Normal","Ideas","Miscellaneous","","Tree House","X","21318-1","249.99","214.99","309.99","249.99","02/08/2019 00:00:00","10/01/2025 00:00:00","3036","4","Box","Retail - limited","6278925","6278924","5702016554205","673419313827","58","47.5","12","3.8","16","","18565","5262","10","18","X","9","172.3600","133.8600","César Soares,Markus Rollbühler,Samuel Johnson,","01/08/2019 00:00:00","31/12/2024 00:00:00"
"29562","21319","1","2019","Normal","Ideas","Miscellaneous","Licensed","Central Perk","X","21319-1","59.99","69.99","89.99","79.99","01/09/2019 00:00:00","21/11/2022 00:00:00","1070","7","Box","Retail - limited","6283895","6283894","5702016603842","","38","26","9.1","1.352","16","","22420","2094","10","18","X","20","78.5200","58.1000","Milan Madge,Samuel Johnson,","01/09/2019 00:00:00","31/12/2022 00:00:00"
"29630","21320","1","2019","Normal","Ideas","Miscellaneous","","Dinosaur Fossils","X","21320-1","59.99","54.99","79.99","59.99","01/11/2019 00:00:00","24/01/2022 00:00:00","910","2","Box","Retail - limited","6288198","6288195","5702016615586","673419317306","28.2","26.2","9.6","1","16","","13490","3385","14","22","X","4","78.6900","66.4600","Niels Milan Pedersen,Samuel Johnson,","01/11/2019 00:00:00","31/12/2021 00:00:00"
"28953","30327","1","2019","Normal","Duplo","Pre-school","My First","My First Duck","X","30327-1","","","","","","","6","","Polybag","{Not specified}","6253043","6253045","5702016371963","673419305099","20","19.5","1.4","","","","772","55","2","3","X","0","2.9500","2.3500","","01/01/2019 00:00:00","31/12/2022 00:00:00"
"28954","30328","0","2019","Random","Duplo","Pre-school","","Town Rescue - {Random Bag}","X","30328-0","","","","","","","","","Polybag","{Not specified}","6253048","6253047","","","20","19.5","1","","","","94","45","0","2","X","0","","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28979","30328","2","2019","Normal","Duplo","Pre-school","","Town Rescue - Bird","X","30328-2","","","","","","","","","Polybag","{Not specified}","6253048","6253047","","","20","19.5","1","","","","94","36","0","0","X","3","","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28980","30328","3","2019","Normal","Duplo","Pre-school","","Town Rescue - Fireman","X","30328-3","","","","","","","","","Polybag","{Not specified}","6253048","6253047","","","20","19.5","1","","","","70","41","0","0","X","0","","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28981","30328","4","2019","Normal","Duplo","Pre-school","","Town Rescue - Cat","X","30328-4","","","","","","","","","Polybag","{Not specified}","6253048","6253047","","","20","19.5","1","","","","80","41","0","0","X","0","","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28982","30328","5","2019","Normal","Duplo","Pre-school","","Town Rescue - Policewoman","X","30328-5","","","","","","","","","Polybag","{Not specified}","6253048","6253047","","","20","19.5","1","","","","65","36","0","0","X","0","","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28977","30328","6","2019","Normal","Duplo","Pre-school","","Town Rescue - Dog","X","30328-1","","","","","","","","","Polybag","{Not specified}","6253048","6253047","","","20","19.5","1","","","","69","44","0","0","X","0","","","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28597","30340","1","2019","Normal","The LEGO Movie 2","Licensed","Miscellaneous","Emmet's 'Piece' Offering","X","30340-1","","3.49","","3.99","","","44","1","Polybag","Retail","6253056","6253055","5702016373110","673419305143","17","19.5","1","","","","6135","564","2","2","X","9","4.3200","1.8500","Markus Rollbühler,Nick Vas,","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28596","30361","1","2019","Normal","City","Modern day","Fire","Fire ATV","X","30361-1","","","","","","","39","1","Polybag","Promotional","6253521","6253518","5702016374773","673419306133","17","17","1","0.036","5","","4995","448","2","3","X","15","3.8400","2.5600","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28605","30362","1","2019","Normal","City","Modern day","Sky Police","Sky Police Jetpack","X","30362-1","3.99","","","","","","33","2","Polybag","{Not specified}","6253525","6253523","5702016374780","","17","17","0.6","0.025","5","","2345","622","2","0","X","19","4.1500","3.1700","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28946","30363","1","2019","Normal","City","Modern day","Harbour","Race Boat","X","30363-1","","3.49","","3.99","","","34","1","Polybag","Retail - limited","6253532","6253529","5702016374797","","17","17","0.9","0.034","5","","2880","513","2","1","X","4","3.7900","2.4600","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"28938","30364","1","2019","Normal","City","Modern day","General","Popcorn Cart","X","30364-1","","","","","","","43","1","Polybag","Retail","6253536","6253534","5702016374803","673419306263","17","17","1.1","0.042","5","","8663","1844","2","0","X","24","8.8300","6.3000","","01/01/2019 00:00:00","31/12/2019 00:00:00"
"29295","30365","1","2019","Normal","City","Modern day","Mars Exploration","Space Satellite","X","30365-1","3.99","","6.99","","14/05/2020 00:00:00","08/07/2021 00:00:00","36","1","Polybag","Retail - limited","6253539","6253537","5702016374810","673419306270","17","17","0.7","0.025","5","","8137","1221","2","2","X","34","4.8400","3.7300","","01/06/2019 00:00:00","31/12/2020 00:00:00"
"29136","30383","1","2019","Normal","Star Wars","Licensed","Episode I","Naboo Starfighter","X","30383-1","","","","","","","48","","Polybag","{Not specified}","6254013","6254012","5702016376166","673419306034","17","17","1","","","","5281","1083","2","1","X","18","6.8600","4.5600","Henrik Andersen,","01/04/2019 00:00:00","31/12/2020 00:00:00"
"29164","30384","1","2019","Normal","Star Wars","Licensed","Episode V","Snowspeeder","X","30384-1","","","","","","","49","","Polybag","Retail","6254020","6254019","5702016376777","673419306041","17","17","1.1","","6","","6718","1158","2","0","X","20","5.7700","2.8500","Henrik Andersen,","01/04/2019 00:00:00","31/12/2020 00:00:00"
